Abbrev	Name	Use
DDD	dichlorodiphenyldichloroethane	Y
DDE	dichlorodiphenyldichloroethylene	Y
DDT	dichlorodiphenyltrichloroethane	Y
HpCDD	heptachlorodibenzo-p-dioxin	Y
HpCDF	heptachlorodibenzofuran	Y
HxCDD	hexachlorodibenzo-p-dioxin	Y
HxCDF	hexachlorodibenzofuran	Y
PeCDD	pentachlorodibenzo-p-dioxin	Y
TCP	trichlorophenyl	Y
NPE	nitrophenyl ether	Y
BDE	brominated diphenyl ether	Y
PCB	polychlorinated biphenyl	Y
PBB	polybrominated biphenyl	Y
EPN	ethyl p-nitrophenyl benzenethiophosphonate	Y
B9-1679	2,3,5,6,8,8,9,10,10-nonachlorobornane	Y
B8-1413	2,3,5,6,8,8,10,10-octachlorobornane	Y
B9-1025	2,2,5,5,8,9,9,10,10-nonachlorobornane	Y
DFTPP	decafluorotriphenylphosphine	Y
EDC	endocrine-disrupting chemical	Y
CAS	Chemical Abstracts Service	Y
IARC	International Agency for Research on Cancer	Y
NHANES	National Health and Nutrition Examination Survey	
CDC	Centers for Disease Control and Prevention	
min.	minutes	
m/z	mass-to-charge ratio	Y
PAH	polycyclic aromatic hydrocarbon	
RT	retention time	Y
9Cl-PF3ONS	9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid	
BDCPP	bis(1,3-dichloro-2-propyl) phosphate	
BDPP	bis(2,3-dibromopropyl) hydrogen phosphate	
Bromo-TMP-Phenol	2-bromo-4-(2,4,4-trimethylpentan-2-yl)phenol	
Compds.	compounds	
DBahA	dibenz[a,h]anthracene	
DCP	dichlorophenyl	
DCPMNB	4-(2,4-dichlorophenoxy)-2-methyl-1-nitrobenzene	
DTPAs	dithiophosphoric acids	
EtFOSAA	N-ethylperfluoro-1-octanesulfonamidoacetic acid (linear)	
Furaneol	4-hydroxy-2,5-dimethyl-3(2H)-furanone	
IMHP	2-isopropyl-6-methyl-4-pyrimidinol	
Lin.	linear	
LLMs	lipid-like molecules	
LOD	limit of detection	
MBOT	4,4′-methylenebis(o-toluidine)	
MCPA	2-methyl-4-chlorophenoxyacetic acid	
MEcPP	mono(5-carboxy-2-ethylpentyl) phthalate	
MEHHP	mono(2-ethyl-5-hydroxyhexyl) phthalate	
MEOHP	mono(2-ethyl-5-oxohexyl) phthalate	
MGK-264	McLaughlin Gormley King-264 (also known as N-2-ethylhexylbicycloheptenedicarboximide)	
MOCA	4,4′-methylenebis(2-chloroaniline)	Y
N-MeFOSAA	N-methylperfluoro-1-octanesulfonamidoacetic acid (linear)	Y
o-Dianisidine	3,3′-dimethoxybenzidine	
Org	organic	
Org. Heterocycl.	organoheterocyclic	
p-Chlorocresol	4-chloro-3-methylphenol	
PCDF	pentachlorodibenzofuran	
PKs	polyketides	
SDs	substituted derivatives	
TBBPA-BAE	tetrabromobisphenol A bis(allyl ether)	
TCDD	tetrachlorodibenzo-p-dioxin	
TCDF	tetrachlorodibenzofuran	
TCPP	tris(1-chloro-2-propyl) phosphate	
TDCPP	tris(1,3-dichloro-2-propyl)phosphate	
TEEP	tetraethyl ethylenediphosphonate	Y
TPAs	thiophosphoric acids	
TTBNPP	tris(tribromoneopentyl) phosphate	
5-NOT	5-nitro-o-toluidine	Y
ANOVA	analysis of variance	Y
DEET	N,N-diethyl-meta-toluamide	Y
DNOP	di-n-octyl phthalate	Y
MDA	4,4′-diaminodiphenylmethane	Y
MEHP	mono(2-ethylhexyl) phthalate	Y
OD-PABA	octyl-dimethyl-p-aminobenzoic acid	Y
UV	ultraviolet	Y
2-ABP	2-aminobiphenyl	Y
4-ABP	4-aminobiphenyl	Y
gamma-BHC	gamma-benzenehexachloride	Y
FTC	follicular thyroid carcinoma	
IEFVPTC	invasive encapsulated follicular variant of papillary thyroid carcinoma	
PTC	papillary thyroid carcinoma	
