"","cas","short_display_name","lib","mzMed","rtMin","rtMed","rtMax","tmz","trt","id","subid","id_subid","name_sub_lib_id","validate_for","check1","file1","check2","file2","check3","file3","check4","file4","check5","file5"
"1","50-32-8","Benzo[a]pyrene","BP2.GC2",250.077858,16.74416667,16.86991667,16.99566667,250.0786,16.9112,"CP2221",1,"CP2221_1","benzo[a]pyrene_1_BP2.GC2_CP2221","iarc","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006",NA,NA,NA,NA,NA,NA
"2","50-32-8","Benzo[a]pyrene","BP3.GC2",252.0934105,16.4308,16.4422875,16.45883333,252.0937,16.6163,"CP3028",0,"CP3028_0","benzo[a]pyrene_0_BP3.GC2_CP3028","iarc","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002"
"3","50-32-8","Benzo[a]pyrene","BP3.GC2",250.077795,16.42601667,16.44112917,16.45385833,250.0781,16.6163,"CP3028",1,"CP3028_1","benzo[a]pyrene_1_BP3.GC2_CP3028","iarc","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006"
"4","91-59-8","2-Naphthylamine","BP2.GC2",116.0494766,7.211158333,7.367958333,7.397566667,116.0495,7.364,"CP2535",2,"CP2535_2","2-Naphthylamine_2_BP2.GC2_CP2535","iarc","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016"
"5","91-59-8","2-Naphthylamine","BP2.GC2",107.073,7.21115,7.320566667,7.495933333,107.0732,7.364,"CP2535",3,"CP2535_3","2-Naphthylamine_3_BP2.GC2_CP2535","iarc","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012"
"6","91-59-8","2-Naphthylamine","BP3.GC2",143.0730896,7.5432,7.604708333,7.666216667,143.073,7.3405,"CP3014",0,"CP3014_0","2-Naphthylamine_0_BP3.GC2_CP3014","iarc","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004",NA,NA,NA,NA,NA,NA
"7","91-59-8","2-Naphthylamine","BP3.GC2",119.0730944,7.129016667,7.428404167,7.514308333,119.073,7.3405,"CP3014",3,"CP3014_3","2-Naphthylamine_3_BP3.GC2_CP3014","iarc","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012"
"8","92-67-1","4-ABP","BP2.GC2",168.080822,6.4423,6.470416667,6.71825,168.0808,6.6385,"CP2518",1,"CP2518_1","4-Aminobiphenyl_1_BP2.GC2_CP2518","iarc","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002"
"9","92-67-1","4-ABP","BP3.GC2",169.0887032,5.180016667,5.41545,5.6105,169.0888,5.366,"CP3002",0,"CP3002_0","4-aminobiphenyl_0_BP3.GC2_CP3002","iarc","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002"
"10","92-67-1","4-ABP","BP3.GC2",168.0808334,5.1792,5.388441667,5.61275,168.081,5.366,"CP3002",1,"CP3002_1","4-aminobiphenyl_1_BP3.GC2_CP3002","iarc","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004"
"11","92-67-1","4-ABP","BP3.GC2",167.0730476,5.16525,5.404904167,5.606633333,167.0731,5.366,"CP3002",2,"CP3002_2","4-aminobiphenyl_2_BP3.GC2_CP3002","iarc","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T008","BL_08222024_ThyroidTssue_013, BL_08222024_ThyroidTssue_014","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002"
"12","92-67-1","4-ABP","BP3.GC2",170.0921936,5.180816667,5.180816667,5.180816667,170.0924,5.366,"CP3002",3,"CP3002_3","4-aminobiphenyl_3_BP3.GC2_CP3002","iarc","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008",NA,NA,NA,NA,NA,NA,NA,NA
"13","92-87-5","Benzidine","BP2.GC2",183.1334972,9.800991667,9.823054167,9.852375,183.1334,9.6825,"CP2215",1,"CP2215_1","Benzidine_1_BP2.GC2_CP2215","iarc","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012"
"14","95-53-4","o-Toluidine","BP2.GC2",106.0651703,5.9092,5.9092,5.9092,106.0653,5.797,"CP2551",0,"CP2551_0","o-Toluidine_0_BP2.GC2_CP2551","iarc","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004",NA,NA,NA,NA,NA,NA,NA,NA
"15","95-53-4","o-Toluidine","BP2.GC2",107.0730057,5.886025,5.920616667,5.987775,107.073,5.797,"CP2551",1,"CP2551_1","o-Toluidine_1_BP2.GC2_CP2551","iarc","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016","T007","BL_08222024_ThyroidTssue_011, BL_08222024_ThyroidTssue_012","T003","BL_08222024_ThyroidTssue_005, BL_08222024_ThyroidTssue_006"
"16","95-53-4","o-Toluidine","BP3.GC2",107.0730124,7.82875,7.893358333,8.01845,107.073,7.8706,"CP3017",0,"CP3017_0","o-Toluidine_0_BP3.GC2_CP3017","iarc","T001","BL_08222024_ThyroidTssue_001, BL_08222024_ThyroidTssue_002","T004","BL_08222024_ThyroidTssue_007, BL_08222024_ThyroidTssue_008","T005","BL_08222024_ThyroidTssue_009, BL_08222024_ThyroidTssue_010","T002","BL_08222024_ThyroidTssue_003, BL_08222024_ThyroidTssue_004","T009","BL_08222024_ThyroidTssue_015, BL_08222024_ThyroidTssue_016"
