id,name,tmz,trt,monoisotopic,cas,subid
CP1001,PCB-66,291.919,8.9182,289.9224,32598-10-0,0
CP1001,PCB-66,289.922,8.9182,289.9224,32598-10-0,1
CP1001,PCB-66,219.9841,8.9182,289.9224,32598-10-0,2
CP1001,PCB-66,293.916,8.9182,289.9224,32598-10-0,3
CP1002,PCB-146,359.8407,10.6665,357.8444,51908-16-8,0
CP1002,PCB-146,361.8378,10.6665,357.8444,51908-16-8,1
CP1002,PCB-146,289.9034,10.6665,357.8444,51908-16-8,2
CP1002,PCB-146,287.9064,10.6665,357.8444,51908-16-8,3
CP1003,PCB-157,359.8408,13.326,357.8444,69782-90-7,0
CP1003,PCB-157,361.8378,13.326,357.8444,69782-90-7,1
CP1003,PCB-157,357.8439,13.326,357.8444,69782-90-7,2
CP1003,PCB-157,289.9033,13.326,357.8444,69782-90-7,3
CP1004,PCB-167,359.8408,12.6688,357.8444,52663-72-6,0
CP1004,PCB-167,361.8378,12.6688,357.8444,52663-72-6,1
CP1004,PCB-167,393.8018,12.6688,357.8444,52663-72-6,2
CP1004,PCB-167,395.7988,12.6688,357.8444,52663-72-6,3
CP1005,PCB-172,393.802,13.4507,391.8055,52663-74-8,0
CP1005,PCB-172,395.7989,13.4507,391.8055,52663-74-8,1
CP1005,PCB-172,323.8642,13.4507,391.8055,52663-74-8,2
CP1005,PCB-172,325.8612,13.4507,391.8055,52663-74-8,3
CP1006,PCB-189,393.8017,15.132,391.8055,39635-31-9,0
CP1006,PCB-189,395.7986,15.132,391.8055,39635-31-9,1
CP1006,PCB-189,397.7958,15.132,391.8055,39635-31-9,2
CP1006,PCB-189,323.8642,15.132,391.8055,39635-31-9,3
CP1007,PCB-196,429.7599,14.7016,425.7665,42740-50-1,0
CP1007,PCB-196,427.7629,14.7016,425.7665,42740-50-1,1
CP1007,PCB-196,357.8252,14.7016,425.7665,42740-50-1,2
CP1007,PCB-196,359.8221,14.7016,425.7665,42740-50-1,3
CP1008,PCB-203,429.7599,15.4106,425.7665,52663-76-0,0
CP1008,PCB-203,427.7628,15.4106,425.7665,52663-76-0,1
CP1008,PCB-203,357.8252,15.4106,425.7665,52663-76-0,2
CP1008,PCB-203,431.7568,15.4106,425.7665,52663-76-0,3
CP1009,Hexachlorobenzene,283.8099,5.9841,281.8131,118-74-1,0
CP1009,Hexachlorobenzene,285.807,5.9841,281.8131,118-74-1,1
CP1009,Hexachlorobenzene,281.8129,5.9841,281.8131,118-74-1,2
CP1009,Hexachlorobenzene,287.8041,5.9841,281.8131,118-74-1,3
CP1010,OCTACHLOROSTYRENE,307.8099,8.5407,375.7508,29082-74-4,0
CP1010,OCTACHLOROSTYRENE,342.7789,8.5407,375.7508,29082-74-4,1
CP1010,OCTACHLOROSTYRENE,344.776,8.5407,375.7508,29082-74-4,2
CP1010,OCTACHLOROSTYRENE,309.807,8.5407,375.7508,29082-74-4,3
CP1011,Pentachloronitrobenzene,236.8408,6.2833,292.8372,82-68-8,0
CP1011,Pentachloronitrobenzene,234.8438,6.2833,292.8372,82-68-8,1
CP1011,Pentachloronitrobenzene,238.8379,6.2833,292.8372,82-68-8,2
CP1011,Pentachloronitrobenzene,199.045,6.2833,292.8372,82-68-8,3
CP1012,oxychlordane,114.8006,17.793,419.777,27304-13-8,0
CP1012,oxychlordane,184.859,17.793,419.777,27304-13-8,1
CP1012,oxychlordane,186.6346,17.793,419.777,27304-13-8,2
CP1012,oxychlordane,338.8635,17.793,419.777,27304-13-8,3
CP1013,"2,3,4,6-Tetrachlorophenol",231.8824,5.2057,229.88597,58-90-2,0
CP1013,"2,3,4,6-Tetrachlorophenol",229.8855,5.2057,229.88597,58-90-2,1
CP1013,"2,3,4,6-Tetrachlorophenol",233.8796,5.2057,229.88597,58-90-2,2
CP1013,"2,3,4,6-Tetrachlorophenol",235.8767,5.2057,229.88597,58-90-2,3
CP1014,"2,3,4,6-tetrabromophenol",409.6806,7.9939,405.6839,14400-94-3,0
CP1014,"2,3,4,6-tetrabromophenol",407.6828,7.9939,405.6839,14400-94-3,1
CP1014,"2,3,4,6-tetrabromophenol",411.6786,7.9939,405.6839,14400-94-3,2
CP1014,"2,3,4,6-tetrabromophenol",405.6848,7.9939,405.6839,14400-94-3,3
CP1015,pentabromophenol,487.5915,11.6289,483.5944,608-71-9,0
CP1015,pentabromophenol,489.5891,11.6289,483.5944,608-71-9,1
CP1015,pentabromophenol,485.5934,11.6289,483.5944,608-71-9,2
CP1015,pentabromophenol,491.5875,11.6289,483.5944,608-71-9,3
CP1016,pentachlorophenol,265.8441,6.3451,263.847,87-86-5,0
CP1016,pentachlorophenol,267.8412,6.3451,263.847,87-86-5,1
CP1016,pentachlorophenol,263.8471,6.3451,263.847,87-86-5,2
CP1016,pentachlorophenol,164.9059,6.3451,263.847,87-86-5,3
CP1017,PCB-17,186.0231,6.4843,255.9613,37680-66-3,0
CP1017,PCB-17,255.9609,6.4843,255.9613,37680-66-3,1
CP1017,PCB-17,257.9579,6.4843,255.9613,37680-66-3,2
CP1017,PCB-17,220.992,6.4843,255.9613,37680-66-3,3
CP1018,PCB-18,186.023,6.6848,255.9613,37680-65-2,0
CP1018,PCB-18,255.9609,6.6848,255.9613,37680-65-2,1
CP1018,PCB-18,257.9579,6.6848,255.9613,37680-65-2,2
CP1018,PCB-18,220.992,6.6848,255.9613,37680-65-2,3
CP1019,PCB-28,255.9608,7.1938,255.9613,7012-37-5,0
CP1019,PCB-28,257.9578,7.1938,255.9613,7012-37-5,1
CP1019,PCB-28,186.023,7.1938,255.9613,7012-37-5,2
CP1019,PCB-28,259.9549,7.1938,255.9613,7012-37-5,3
CP1020,PCB-31,255.9609,7.1938,255.9613,16606-02-3,0
CP1020,PCB-31,257.9579,7.1938,255.9613,16606-02-3,1
CP1020,PCB-31,186.0231,7.1938,255.9613,16606-02-3,2
CP1020,PCB-31,259.955,7.1938,255.9613,16606-02-3,3
CP1021,PCB-33,255.9608,8.824,255.9613,38444-86-9,0
CP1021,PCB-33,257.9579,8.824,255.9613,38444-86-9,1
CP1021,PCB-33,186.023,8.824,255.9613,38444-86-9,2
CP1021,PCB-33,259.955,8.824,255.9613,38444-86-9,3
CP1022,PCB-44,219.9841,8.0756,289.9224,41464-39-5,0
CP1022,PCB-44,291.9189,8.0756,289.9224,41464-39-5,1
CP1022,PCB-44,289.9218,8.0756,289.9224,41464-39-5,2
CP1022,PCB-44,221.9812,8.0756,289.9224,41464-39-5,3
CP1023,PCB-49,291.9189,7.8075,289.9224,41464-40-8,0
CP1023,PCB-49,219.9841,7.8075,289.9224,41464-40-8,1
