ID,Chemical Name,Fomula,Monoisotopic_mass,cas,emz1,emz2,emz3,emz4,emz5,emz6,emz7,emz8
CP3017,o-Toluidine,C6H4CH3NH2,107.073499,95-53-4,107.073,106.0651,77.0386,105.0699,164.0706,,,
CP3015,"4,4'-Oxydianiline",C12H12N2O,200.09496,101-80-4,200.0964,199.093,108.0526,171.0617,201.1001,,,
CP2514,4-Nitroquinoline-1-oxide,C9H6N2O3,190.0378,56-57-5,190.036,191.031,189.0356,192.0107,,,,
CP3031,Benzo(k)fluoranthene,C20H12,252.0939,207-08-9,252.0937,250.0781,253.0969,126.0463,,,,
CP3007,"4,4'-diaminodiphenylmethane",NH2C6H4CH2C6H4NH2,198.1157,101-77-9,106.0483,199.1689,197.0957,93.0655,198.1152,,,
CP3021,o-Anisidine,NH2C6H4OCH3,123.0684,90-04-0,80.0495,108.0445,109.0523,122.0602,,,,
CP2475,"3,3'-Dimethylbenzidine",C14H16N2,212.1314,119-93-7,212.1302,213.1342,211.1229,199.0011,210.115,,,
CP3001,o-aminoazotoluene,C14H15N3,225.1266,97-56-3,106.0733,106.0727,134.1048,79.0542,226.1718,,,
CP2189_2,NDPA,,,621-64-7,70.0734,71.0856,58.0734,113.0916,,,,
CP2220,Benz(a)anthracene,C18H12,228.0939,56-55-3,228.0936,226.0778,229.0967,224.0622,,,,
CP2533,Methyl methanesulfonate,C2H6O3S,110.0037,66-27-3,78.9402,76.9902,79.9483,110.0026,,,,
CP3016,"4,4'-Thiodianiline",C12H12N2S,216.0721,139-65-1,216.0735,184.088,215.0702,183.0802,80.062,,,
CP2225,Chrysene,C18H12,228.0939,218-01-9,228.0936,226.0778,229.0967,224.0622,114.0914,,,
CP2107,Bupirimate ,C13H24N4O3S,316.1569,41483-43-6,316.1563,273.1017,208.1443,166.0974,,,,
CP1090,Methoxychlor,C16H15Cl3O2,344.0138,72-43-5,227.1066,228.1098,152.0618,212.083,344.0133,,,
CP2486,Molinate,C9H17NOS,187.1031,2212-67-1,187.1039,126.1098,186.1041,188.0623,83.0923,,,
CP3068,Naphthalene,C10H8,128.0626,91-20-3,128.0621,127.0544,102.0465,126.0465,,,,
CP2390,Bromodichloromethane,CHBrCl2,161.8639,75-27-4,162.9719,82.945,84.9421,83.9762,,,,
CP3193,N-methylperfluoro-1-octanesulfonamidoacetic acid (linear),C11H6F17NO4S,570.9746,2355-31-9,570.9708,563.9692,575.8962,319.9548,326.9304,320.8975,,
CP3003,2-amino-4-nitrotoluene,C7H8N2O2,152.0586,99-55-8,152.0582,150.0465,151.0543,122.015,123.0229,153.0445,,
