"","cas","short_display_name","lib","mzMed","rtMin","rtMed","rtMax","tmz","trt","id","subid","id_subid","name_sub_lib_id","validate_for","check1","file1","check2","file2","check3","file3","check4","file4","check5","file5"
"1","95-53-4","o-Toluidine","BP2.GC2",107.0729542,5.6785,5.913575,6.094866667,107.073,5.797,"CP2551",1,"CP2551_1","o-Toluidine_1_BP2.GC2_CP2551","quant and iarc","F1","BL_12082022_001, BL_12082022_002",NA,NA,NA,NA,NA,NA,NA,NA
"2","95-53-4","o-Toluidine","BP2.GC2",108.0682106,5.498133333,5.711425,5.939333333,108.0683,5.797,"CP2551",2,"CP2551_2","o-Toluidine_2_BP2.GC2_CP2551","quant and iarc","F17","BL_12082022_101, BL_12082022_102","F16","BL_12082022_097, BL_12082022_098","F8","BL_12082022_037, BL_12082022_038","F6","BL_12082022_021, BL_12082022_022","F1","BL_12082022_001, BL_12082022_002"
"3","95-53-4","o-Toluidine","BP2.GC2",105.057354,5.488166667,5.778970833,6.112833333,105.0573,5.797,"CP2551",3,"CP2551_3","o-Toluidine_3_BP2.GC2_CP2551","quant and iarc","F10","BL_12082022_057, BL_12082022_058","F9","BL_12082022_049, BL_12082022_050","F14","BL_12082022_087, BL_12082022_088","F13","BL_12082022_085, BL_12082022_086","F19","BL_12082022_115, BL_12082022_116"
"4","95-53-4","o-Toluidine","BP3.GC2",107.0729885,7.466316667,8.076708333,8.164791667,107.073,7.8706,"CP3017",0,"CP3017_0","o-Toluidine_0_BP3.GC2_CP3017","quant and iarc","F10","BL_12082022_057, BL_12082022_058","F9","BL_12082022_049, BL_12082022_050","F18","BL_12082022_107, BL_12082022_108","F14","BL_12082022_087, BL_12082022_088","F13","BL_12082022_085, BL_12082022_086"
"5","95-53-4","o-Toluidine","BP3.GC2",106.065156,7.715975,8.0821875,8.143683333,106.0651,7.8706,"CP3017",1,"CP3017_1","o-Toluidine_1_BP3.GC2_CP3017","quant and iarc","F15","BL_12082022_093, BL_12082022_094","F13","BL_12082022_085, BL_12082022_086","F11","BL_12082022_077, BL_12082022_078",NA,NA,NA,NA
"6","95-53-4","o-Toluidine","BP3.GC2",108.0763397,8.012083333,8.082283333,8.09585,108.0764,7.8706,"CP3017",2,"CP3017_2","o-Toluidine_2_BP3.GC2_CP3017","quant and iarc","F17","BL_12082022_101, BL_12082022_102","F9","BL_12082022_049, BL_12082022_050","F18","BL_12082022_107, BL_12082022_108","F14","BL_12082022_087, BL_12082022_088","F3","BL_12082022_007, BL_12082022_008"
"7","95-53-4","o-Toluidine","BP3.GC2",105.0335197,8.011475,8.127654167,8.187,105.0336,7.8706,"CP3017",3,"CP3017_3","o-Toluidine_3_BP3.GC2_CP3017","quant and iarc","F4","BL_12082022_009, BL_12082022_010","F11","BL_12082022_077, BL_12082022_078",NA,NA,NA,NA,NA,NA
"8","117-84-0","DNOP","BP2.GC2",149.1235886,17.6565,18.06458333,18.07908333,149.1238,17.847,"CP2187",0,"CP2187_0","Di-n-octyl phthalate_0_BP2.GC2_CP2187","quant","F2","BL_12082022_003, BL_12082022_004","F3","BL_12082022_007, BL_12082022_008","F11","BL_12082022_077, BL_12082022_078","F7","BL_12082022_025, BL_12082022_026","F18","BL_12082022_107, BL_12082022_108"
"9","117-84-0","DNOP","BP2.GC2",150.1359291,17.67416667,17.91041667,18.0775,150.1359,17.847,"CP2187",1,"CP2187_1","Di-n-octyl phthalate_1_BP2.GC2_CP2187","quant","F6","BL_12082022_021, BL_12082022_022","F9","BL_12082022_049, BL_12082022_050","F3","BL_12082022_007, BL_12082022_008",NA,NA,NA,NA
"10","117-84-0","DNOP","BP2.GC2",151.1392059,17.6585,17.67166667,17.919,151.1392,17.847,"CP2187",3,"CP2187_3","Di-n-octyl phthalate_3_BP2.GC2_CP2187","quant","F18","BL_12082022_107, BL_12082022_108","F6","BL_12082022_021, BL_12082022_022","F1","BL_12082022_001, BL_12082022_002","F16","BL_12082022_097, BL_12082022_098","F13","BL_12082022_085, BL_12082022_086"
"11","117-84-0","DNOP","BP3.GC2",279.1590118,13.95129167,14.53060833,14.60163333,279.159,14.1913,"CP3056",1,"CP3056_1","Di-n-octyl phthalate_1_BP3.GC2_CP3056","quant","F11","BL_12082022_077, BL_12082022_078","F6","BL_12082022_021, BL_12082022_022","F5","BL_12082022_017, BL_12082022_018","F2","BL_12082022_003, BL_12082022_004","F18","BL_12082022_107, BL_12082022_108"
"12","117-84-0","DNOP","BP3.GC2",150.0308075,13.96474167,14.531025,14.58706667,150.0302,14.1913,"CP3056",2,"CP3056_2","Di-n-octyl phthalate_2_BP3.GC2_CP3056","quant","F11","BL_12082022_077, BL_12082022_078","F6","BL_12082022_021, BL_12082022_022","F5","BL_12082022_017, BL_12082022_018","F18","BL_12082022_107, BL_12082022_108","F2","BL_12082022_003, BL_12082022_004"
"13","117-84-0","DNOP","BP3.GC2",167.0339279,13.94671667,14.23614583,14.60163333,167.0339,14.1913,"CP3056",3,"CP3056_3","Di-n-octyl phthalate_3_BP3.GC2_CP3056","quant","F11","BL_12082022_077, BL_12082022_078","F6","BL_12082022_021, BL_12082022_022","F3","BL_12082022_007, BL_12082022_008","F12","BL_12082022_083, BL_12082022_084","F9","BL_12082022_049, BL_12082022_050"
"14","2093-28-9","2,6-DCP-4’-NPE","BP2.GC2",139.0543613,10.24883333,10.37277083,10.76535,139.0545,10.4388,"CP2458",1,"CP2458_1","2,6-Dichlorophenyl-4'-nitrophenyl ether_1_BP2.GC2_CP2458","quant","F2","BL_12082022_003, BL_12082022_004","F10","BL_12082022_057, BL_12082022_058","F15","BL_12082022_093, BL_12082022_094","F3","BL_12082022_007, BL_12082022_008","F1","BL_12082022_001, BL_12082022_002"
"15","2642-71-9","Guthion","BP2.GC2",132.0444984,14.71003333,14.94375833,15.183275,132.0445,15.1056,"CP2002",0,"CP2002_0","Azinphos ethyl_0_BP2.GC2_CP2002","quant","F3","BL_12082022_007, BL_12082022_008","F11","BL_12082022_077, BL_12082022_078","F9","BL_12082022_049, BL_12082022_050","F8","BL_12082022_037, BL_12082022_038","F4","BL_12082022_009, BL_12082022_010"
"16","2642-71-9","Guthion","BP2.GC2",104.0494823,14.848875,15.00796667,15.28671667,104.0495,15.1056,"CP2002",1,"CP2002_1","Azinphos ethyl_1_BP2.GC2_CP2002","quant","F3","BL_12082022_007, BL_12082022_008","F11","BL_12082022_077, BL_12082022_078","F10","BL_12082022_057, BL_12082022_058","F4","BL_12082022_009, BL_12082022_010","F8","BL_12082022_037, BL_12082022_038"
"17","68359-37-5","Cyfluthrin","BP3.GC2",163.054287,8.050825,8.34955,8.67855,163.0542,8.3914,"CP3153",1,"CP3153_1","Cyfluthrin_1_BP3.GC2_CP3153","quant","F6","BL_12082022_021, BL_12082022_022","F20","BL_12082022_119, BL_12082022_120","F8","BL_12082022_037, BL_12082022_038","F5","BL_12082022_017, BL_12082022_018","F12","BL_12082022_083, BL_12082022_084"
"18","68359-37-5","Cyfluthrin","BP3.GC2",165.0699844,8.16195,8.217866667,8.58725,165.0699,8.3914,"CP3153",2,"CP3153_2","Cyfluthrin_2_BP3.GC2_CP3153","quant","F9","BL_12082022_049, BL_12082022_050","F10","BL_12082022_057, BL_12082022_058","F16","BL_12082022_097, BL_12082022_098","F4","BL_12082022_009, BL_12082022_010","F2","BL_12082022_003, BL_12082022_004"
"19","68359-37-5","Cyfluthrin","BP3.GC2",167.0855484,7.925883333,8.161808333,8.406433333,167.0855,8.3914,"CP3153",3,"CP3153_3","Cyfluthrin_3_BP3.GC2_CP3153","quant","F11","BL_12082022_077, BL_12082022_078","F15","BL_12082022_093, BL_12082022_094","F16","BL_12082022_097, BL_12082022_098","F20","BL_12082022_119, BL_12082022_120","F19","BL_12082022_115, BL_12082022_116"
"20","50-32-8","benzo[a]pyrene","BP2.GC2",252.093338,16.660225,16.94166667,17.2755,252.0942,16.9112,"CP2221",0,"CP2221_0","benzo[a]pyrene_0_BP2.GC2_CP2221","iarc","F5","BL_12082022_017, BL_12082022_018","F20","BL_12082022_119, BL_12082022_120","F1","BL_12082022_001, BL_12082022_002","F7","BL_12082022_025, BL_12082022_026","F8","BL_12082022_037, BL_12082022_038"
"21","50-32-8","benzo[a]pyrene","BP2.GC2",250.0778198,16.69933333,16.90233333,16.93283333,250.0786,16.9112,"CP2221",1,"CP2221_1","benzo[a]pyrene_1_BP2.GC2_CP2221","iarc","F7","BL_12082022_025, BL_12082022_026",NA,NA,NA,NA,NA,NA,NA,NA
